Identifier,CO2,Longitude,Latitude
2/6/2017 32,406.40056,-139.1109965,59.18855775
2/4/2017 45,401.94589,-143.067291,60.052372
11/2/2016 32,398.81636,-141.5186615,59.72958
10/26/2016 26,403.858155,-140.797081,60.819809
10/26/2016 25,403.2783757,-139.3942891,59.50333829
10/24/2016 38,399.52045,-142.102875,59.270294
10/24/2016 37,402.52504,-141.901474,59.0662175
10/8/2016 37,400.386321,-141.4965037,59.67728823
10/1/2016 31,403.5223612,-139.0795774,59.26554964
9/13/2016 44,402.038055,-142.642166,60.9683685
9/4/2016 49,397.7445638,-141.9782028,59.11749083
8/28/2016 44,402.3710669,-141.8092487,61.10235592
8/28/2016 43,403.7676157,-140.6436124,59.81486373
8/26/2016 56,401.1402174,-143.8950546,60.11524554
8/26/2016 55,398.5125727,-143.3151657,59.43719285
8/3/2016 49,394.8920493,-141.2485232,59.88817543
8/1/2016 2,401.637495,-144.2233125,59.855862
8/1/2016 1,397.321757,-144.1624923,59.7424864
7/18/2016 49,399.5904443,-140.8317287,59.7989143
7/11/2016 43,402.0248318,-139.2764896,59.89119429
7/9/2016 56,400.4925077,-143.4876612,61.24952457
7/9/2016 55,399.5911511,-142.9138852,60.57548776
7/4/2016 37,398.9622033,-138.5151641,60.87890159
7/2/2016 49,398.17126,-141.09671,60.314987
6/18/2016 37,401.1108435,-138.8141277,61.07396831
6/16/2016 50,403.7659242,-141.8792383,61.01779034
6/16/2016 49,401.1905434,-140.7256264,59.60008663
6/14/2016 2,401.1127623,-144.0844873,59.90185818
6/9/2016 44,403.4199623,-140.6930958,61.30803877
6/9/2016 43,406.780245,-139.3185873,59.63704834
6/7/2016 56,413.5257367,-143.4234388,60.84978367
5/31/2016 50,403.5289864,-142.2040663,61.05046096
5/22/2016 56,397.5408424,-143.5389091,60.56397548
5/15/2016 50,405.5755536,-141.4228041,59.68801372
5/13/2016 2,407.1803833,-144.4226034,59.54400013
5/8/2016 44,406.026245,-140.2521325,59.96156225
5/6/2016 56,404.407108,-143.1775795,59.6875577
4/24/2016 32,409.913486,-138.6075532,61.1847805
4/20/2016 56,406.4252075,-143.3127403,59.4591505
4/13/2016 50,405.6163117,-141.7030411,59.20805183
3/23/2016 32,417.8964736,-139.3677356,61.12258036
3/16/2016 26,416.06886,-138.3261035,61.345287
3/3/2016 57,404.0529989,-144.4107919,59.23704511
3/3/2016 56,403.3944265,-144.3630641,59.14180835
11/16/2015 32,394.066292,-141.6688248,59.5129547
11/2/2015 20,375.63062,-139.229233,60.485298
10/20/2015 49,378.4781829,-138.2340349,60.83139694
9/20/2015 38,393.691315,-141.840599,61.218256
9/13/2015 32,416.8918438,-138.4552108,59.75949144
9/7/2015 8,398.8464284,-143.055501,61.11845363
9/7/2015 7,400.34569,-142.3716462,60.079998
9/2/2015 50,408.6181,-142.975845,60.305374
8/24/2015 55,397.3243535,-139.1042245,59.79901027
8/19/2015 38,371.576125,-138.8413545,59.977751
8/13/2015 14,400.4807275,-144.3168658,60.72567363
8/1/2015 50,391.4877632,-140.974417,59.53327944
7/25/2015 44,390.1711852,-139.506348,59.80983469
7/25/2015 43,391.1819484,-138.99271,59.14769396
7/18/2015 38,396.2731218,-138.4459754,60.52686897
7/16/2015 49,401.0322,-138.546402,61.244473
7/9/2015 44,395.0874165,-139.8737676,60.44912935
7/7/2015 57,398.75928,-143.330688,60.96637
7/5/2015 8,398.5028796,-142.9421515,60.91577124
6/23/2015 44,399.7287497,-139.4737764,59.95227092
6/21/2015 55,383.50215,-138.8386535,59.42232525
6/19/2015 8,396.370039,-142.9971485,61.02086038
6/14/2015 50,401.3143335,-138.4951626,61.2479796
6/14/2015 49,396.4213985,-138.284243,60.9094705
6/5/2015 57,386.92365,-143.66362,61.07436
6/5/2015 56,399.91156,-142.236221,59.300251
5/29/2015 50,400.6909658,-141.4682101,60.20223288
5/22/2015 44,404.3908078,-140.2450937,60.47100904
5/22/2015 43,401.7559596,-139.4386772,59.4985732
5/20/2015 55,407.1596962,-138.7431109,59.52656145
5/18/2015 8,401.6742757,-142.9143403,61.16948772
5/18/2015 7,405.519051,-142.3875118,60.38986434
5/13/2015 49,402.284263,-138.279844,61.16639298
5/9/2015 14,392.8526,-144.456329,61.16037
4/13/2015 39,408.7029947,-139.3206991,59.886868
4/13/2015 38,407.776574,-138.988675,59.4600418
4/11/2015 52,408.95895,-143.850784,61.409386
4/11/2015 51,418.814875,-143.4417439,60.93417463
4/4/2015 45,405.292994,-142.234555,61.0993598
3/26/2015 50,410.80374,-138.294601,60.807205
3/24/2015 2,404.4189053,-141.1343426,60.55102365
3/10/2015 51,401.1327949,-142.8036565,59.25638641
3/1/2015 56,412.1031922,-138.997323,59.602142
3/1/2015 55,408.2106233,-138.8385876,59.36526611
2/27/2015 8,406.93231,-143.0133694,61.00101755
12/27/2014 55,449.081315,-138.6179275,59.212223
11/25/2014 55,389.47308,-139.065399,59.792423
11/25/2014 54,412.202508,-138.6904816,59.3358186
11/14/2014 13,406.7603983,-143.6383065,59.87641356
10/28/2014 32,393.6837541,-140.8619526,59.29823571
10/22/2014 8,385.2550766,-143.183223,61.28563591
10/22/2014 7,384.91116,-142.909897,60.939053
10/17/2014 49,391.3103418,-138.281026,60.85446836
10/15/2014 2,401.0026835,-141.4535528,60.95363135
10/15/2014 1,411.6419987,-140.7046296,59.83485729
10/13/2014 14,402.201338,-144.2285515,60.46291522
10/8/2014 56,401.4100133,-140.1349797,61.264988
10/6/2014 8,382.7792857,-143.2095948,61.1939565
9/19/2014 26,394.2543,-138.306885,60.662987
